P355	subsidiary	[Y] is a wholly owned subsidiary of [X] .	subsidiary of a company or organization	paraphrase
P361	part of	[X] is a part of [Y] .	object of which the subject is a part	paraphrase
P364	original language of film or TV show	[X] is the original language for [Y].	language in which a film or a performance work was originally created	paraphrase
P39	position held	[X] holds one position [Y] .	subject currently or formerly holds the object position or public office	paraphrase
P40	child	[Y] is the child of [X] .	subject has object as child	paraphrase
P400	platform	[Y] is a platform for [X] .	platform for which a work was developed or released, or the specific platform version of a software product	paraphrase
P403	mouth of the watercourse	[Y] is an estuary of the watercourse of [X] .	the body of water to which the watercourse drains	paraphrase
P407	language of work or name	[X] is written into [Y] .	language associated with this creative work (such as books, shows, songs, broadcasts or websites) or a name	paraphrase
P410	military rank	[X] is [Y] .	military rank achieved by a person, or military rank associated with a position	paraphrase
P412	voice type	[X] is [Y] .	person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)	paraphrase
P413	position played on team / speciality	[X] plays position [Y] .	position or specialism of a player on a team	paraphrase
P449	original broadcaster	[Y] is the original transmitter of [X] .	network or service that originally broadcast a radio or television program	paraphrase
P4552	mountain range	[Y] is a Moutain area of [X] .	range or subrange to which the geographical item belongs	paraphrase
P460	said to be the same as	[X] shall be the same as [Y] .	this item is said to be the same as that item	paraphrase
P463	member of	[X] is a member of the [Y] .	organization, club or musical group to which the subject belongs.	paraphrase
P466	occupant	[Y] is a resident of [X] .	person or organization occupying property	paraphrase
P495	country of origin	[X] was established in the country [Y].	country of origin of this item (creative work, food, phrase, product, etc.)	paraphrase
P527	has part	[X] is part of [Y] .	part of this subject	paraphrase
P551	residence	[X] live in [Y] .	the place where the person is or has been, resident	paraphrase
P57	director	[Y] is the director of [X] .	director(s) of film, TV-series, stageplay, video game or similar	paraphrase
P58	screenwriter	[Y] wrote a script for [X] .	person(s) who wrote the script for subject item	paraphrase
P59	constellation	[X] is located in the constellation [Y] .	the area of the celestial sphere of which the subject is a part	paraphrase
P6	head of government	[Y] is the head of the government of [X] .	head of the executive power of this town, city, municipality, state, country, or other governmental body	paraphrase
P641	sport	[X] is playing a sport [Y] .	sport that the subject participates or participated in or is associated with	paraphrase
P674	characters	[Y] is a character from [X] .	characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)	paraphrase
P706	located on terrain feature	[X] is on terrain feature [Y] .	located on the specified (geo)physical feature.	paraphrase
P710	participant	[Y] is a participant of [X] .	person, group of people or organization (object) that actively takes/took part in an event or process (subject)	paraphrase
P740	location of formation	[X] has been established in [Y].	location where a group or organization was formed	paraphrase
P750	distributed by	[X] shall be distributed by [Y].	distributor of a creative work; distributor for a record label; news agency; film distributor	paraphrase
P800	notable work	[Y] is a remarkable work of [X] .	notable scientific, artistic or literary work, or other work of significance among subject's works	paraphrase
P84	architect	[Y] is an architect from [X] .	person or architectural firm responsible for designing this building	paraphrase
P86	composer	[Y] is a composer from [X] .	person(s) who wrote the music	paraphrase
P921	main subject	[Y] is the main theme of [X].	primary topic of a work	paraphrase
P931	place served by transport hub	[Y] is a place served by the traffic junction [X] .	territorial entity or entities served by this transport hub (airport, train station, etc.)	paraphrase
P937	work location	[X] worked at [Y] .	location where persons or organisations were actively participating in employment, business or other work	paraphrase
P974	tributary	[Y] is a tributary of the river [X].	watercourse that flows into an other one	paraphrase
P991	successful candidate	[Y] is a successful candidate for [X] .	person(s) elected after the election	paraphrase
P17	country	[Y] is a land of [X] .	sovereign state of this item (not to be used for human beings)	paraphrase
P31	instance of	[X] is a [Y] . 	that class of which this subject is a particular example and member	paraphrase
P571	inception	[Y] is generated in [X].	time when an entity begins to exist	paraphrase
P279	subclass of	[X] is a sub-class of [Y] .	this item is a subclass (subset) of that item	paraphrase
P36	capital	[Y] is a capital city of [X].	seat of government of a country, province, state or other type of administrative territorial entity	paraphrase
P360	is a list of	[X] is a list of [Y]s .	common element between all listed items	paraphrase
P20	place of death	[X] died at [Y] .	most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character	paraphrase
P19	place of birth	[X] is born in [Y].	most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character	paraphrase
P30	continent	[Y] is the continent of the [X] .	continent of which the subject is a part	paraphrase
P69	educated at	[X] studied with [Y] .	educational institution attended by subject	paraphrase
P50	author	[X] was written by [Y] .	main creator(s) of a written work (use on works, not humans)	paraphrase
P607	conflict	[X] participates in the battle [Y] .	battles, wars or other military engagements in which the person or item participated	paraphrase
P37	official language	[Y] is an official language of [X] .	language designated as official by this item	paraphrase
P1269	facet of	[X] is a facet of [Y] .	topic of which this item is an aspect, item that offers a broader perspective on the same topic	paraphrase
P166	award received	[X] was awarded an award [Y] .	award or recognition received by a person, organization or creative work	paraphrase
P569	date of birth	[Y] is born in [X].	date on which the subject was born	paraphrase
P737	influenced by	[X] is affected by [Y] .	this person, idea, etc. is informed by that other person, idea, etc.	paraphrase
P108	employer	[X] works for [Y] .	person or organization for which the subject works or worked	paraphrase
P570	date of death	[Y] passed away in [X]	date on which the subject died	paraphrase
P530	diplomatic relation	[X] and [Y] have diplomatic relationships.	diplomatic relations of the country	paraphrase
P802	student	[Y] is a student from [X] .	notable student(s) of the subject individual	paraphrase
P112	founded by	[X] is established by [Y].	founder or co-founder of this organization, religion or place	paraphrase
P425	field of this occupation	[Y] is a box of [X] .	field corresponding to this occupation or profession	paraphrase
P170	creator	[X] is compiled by [Y].	maker of this creative work or other object	paraphrase
P1056	product or material produced	[X] produces [Y] .	material or product produced by a government agency, business, industry, facility, or process
P452	industry	[X] is in [Y] industry .	specific industry of company or organization	paraphrase
P53	family	[X] is a family of [Y] people.	family, including dynasty and nobility houses	paraphrase
P121	item operated	[X] is operating [Y] .	equipment, installation or service operated by the subject	manual
P138	named after	[X] is named for [Y].	entity or event that inspired the subject's name, or namesake	paraphrase
P735	given name	[Y] is the first name of [X] .	first name or another given name of this person	paraphrase
P162	producer	[X] is manufactured by [Y].	person(s) who produced the film, musical work, theatrical production, etc.	paraphrase
P577	publication date	[Y] is published for the first time in [X].	date or point in time when a work was first published or released	paraphrase
P840	narrative location	[X] will take place in [Y].	the narrative of the work is set in this location	paraphrase
P272	production company	[X] is produced by the studio [Y].	company that produced this film, audio or performing arts work	paraphrase
P1412	languages spoken, written or signed	[X] uses the language [Y] .	language(s) that a person or a people speaks, writes or signs, including the native language(s)	paraphrase
P734	family name	[X] is [Y] .	part of full name of person	paraphrase
P2389	organization directed by the office or position	[X] is the head of [Y] .	organization which is directed by this office	paraphrase
P81	connecting line	[X] is linked to [Y].	railway line(s) subject is directly connected to	paraphrase
P54	member of sports team	[X] is a member of the [Y] team.	sports teams or clubs that the subject represents or represented	paraphrase
P179	part of the series	[X] is part of the [Y] series.	series which contains the subject	paraphrase
P397	parent astronomical body	[X] is a orbit of [Y] .	major astronomical body the item belongs to	paraphrase
P676	lyrics by	[Y] wrote the text of [X] .	author of song lyrics	paraphrase
P1889	different from	[X] is different to [Y] .	item that is different from another item, with which it may be confused	paraphrase
P1365	replaces	[X] is succeeding [Y] .	person, state or item replaced
P2416	sports discipline competed in	[X] participated in a [Y] sport.	discipline an athlete competed in within a sport	paraphrase
P647	drafted by	[X] was designed by [Y].	which team the player was drafted by	paraphrase
P144	based on	[X] is based upon [Y] .	the work(s) used as the basis for subject item	paraphrase
P461	opposite of	[X] is the opposite of [Y] .	item that is the opposite of this item	paraphrase
P1589	lowest point	[X] is the lowest point in [Y] .	point with lowest elevation in the country, region, city or area	paraphrase
P1552	has quality	[X] has characteristics [Y] .	the entity has an inherent or distinguishing non-material characteristic	paraphrase
P366	use	[X] shall be used in [Y].	main use of the subject (includes current and former usage)	paraphrase
P1080	from narrative universe	[X] is presented in the universe [Y] .	subject's fictional entity is in the object narrative	paraphrase
P186	made from material	[X] is made of [Y].	material the subject or the object is made of or derived from	paraphrase
P47	shares border with	[Y] divides the border with [X] .	countries or administrative subdivisions, of equal level, that this item borders, either by land or water	paraphrase
P190	twinned administrative body	[X] and [Y] are twin towns.	twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments	paraphrase
P161	cast member	[Y] is an actor at [X] .	actor in the subject production	paraphrase
P376	located on astronomical body	[X] is on planet [Y] .	astronomical body on which features or places are situated	paraphrase
